percentAll,count,totalCount,percentReactive,cytCombo,id,group,stim,concGroup,cell
13.8,578,4189,32.42187325,TNFa+IL6-IL12-IFNa-,a2013,adult,LPS,3,mDC
0,0,4189,0,TNFa-IL6+IL12+IFNa+,a2013,adult,LPS,3,mDC
0.07,3,4189,0.164458777,TNFa-IL6+IL12+IFNa-,a2013,adult,LPS,3,mDC
0.02,1,4189,0.046988222,TNFa-IL6+IL12-IFNa+,a2013,adult,LPS,3,mDC
1.91,80,4189,4.48737521,TNFa-IL6+IL12-IFNa-,a2013,adult,LPS,3,mDC
0.17,7,4189,0.399399888,TNFa-IL6-IL12+IFNa+,a2013,adult,LPS,3,mDC
0.93,39,4189,2.184952328,TNFa-IL6-IL12+IFNa-,a2013,adult,LPS,3,mDC
1.38,58,4189,3.242187325,TNFa-IL6-IL12-IFNa+,a2013,adult,LPS,3,mDC
57.44,2406,4189,NA,TNFa-IL6-IL12-IFNa-,a2013,adult,LPS,3,mDC
0,0,759,0,TNFa+IL6+IL12+IFNa+,a2014,adult,LPS,3,mDC
4.22,32,759,9.978130841,TNFa+IL6+IL12+IFNa-,a2014,adult,LPS,3,mDC
0.13,1,759,0.307383178,TNFa+IL6+IL12-IFNa+,a2014,adult,LPS,3,mDC
12.91,98,759,30.52551402,TNFa+IL6+IL12-IFNa-,a2014,adult,LPS,3,mDC
0,0,759,0,TNFa+IL6-IL12+IFNa+,a2014,adult,LPS,3,mDC
1.98,15,759,4.681682243,TNFa+IL6-IL12+IFNa-,a2014,adult,LPS,3,mDC
0.13,1,759,0.307383178,TNFa+IL6-IL12-IFNa+,a2014,adult,LPS,3,mDC
17.79,135,759,42.06420561,TNFa+IL6-IL12-IFNa-,a2014,adult,LPS,3,mDC
0,0,759,0,TNFa-IL6+IL12+IFNa+,a2014,adult,LPS,3,mDC
0.4,3,759,0.945794393,TNFa-IL6+IL12+IFNa-,a2014,adult,LPS,3,mDC
0.13,1,759,0.307383178,TNFa-IL6+IL12-IFNa+,a2014,adult,LPS,3,mDC
2.24,17,759,5.296448598,TNFa-IL6+IL12-IFNa-,a2014,adult,LPS,3,mDC
0.53,4,759,1.25317757,TNFa-IL6-IL12+IFNa+,a2014,adult,LPS,3,mDC
0.92,7,759,2.175327103,TNFa-IL6-IL12+IFNa-,a2014,adult,LPS,3,mDC
0.92,7,759,2.175327103,TNFa-IL6-IL12-IFNa+,a2014,adult,LPS,3,mDC
57.7,438,759,NA,TNFa-IL6-IL12-IFNa-,a2014,adult,LPS,3,mDC
0,0,2682,0,TNFa+IL6+IL12+IFNa+,a2015,adult,LPS,3,mDC
0.82,22,2682,5.86464,TNFa+IL6+IL12+IFNa-,a2015,adult,LPS,3,mDC
0,0,2682,0,TNFa+IL6+IL12-IFNa+,a2015,adult,LPS,3,mDC
2.87,77,2682,20.52624,TNFa+IL6+IL12-IFNa-,a2015,adult,LPS,3,mDC
0,0,2682,0,TNFa+IL6-IL12+IFNa+,a2015,adult,LPS,3,mDC
0.97,26,2682,6.93744,TNFa+IL6-IL12+IFNa-,a2015,adult,LPS,3,mDC
0,0,2682,0,TNFa+IL6-IL12-IFNa+,a2015,adult,LPS,3,mDC
3.69,99,2682,26.39088,TNFa+IL6-IL12-IFNa-,a2015,adult,LPS,3,mDC
0,0,2682,0,TNFa-IL6+IL12+IFNa+,a2015,adult,LPS,3,mDC
0.26,7,2682,1.85952,TNFa-IL6+IL12+IFNa-,a2015,adult,LPS,3,mDC
0.07,2,2682,0.50064,TNFa-IL6+IL12-IFNa+,a2015,adult,LPS,3,mDC
2.61,70,2682,18.66672,TNFa-IL6+IL12-IFNa-,a2015,adult,LPS,3,mDC
0.15,4,2682,1.0728,TNFa-IL6-IL12+IFNa+,a2015,adult,LPS,3,mDC
1.72,46,2682,12.30144,TNFa-IL6-IL12+IFNa-,a2015,adult,LPS,3,mDC
0.82,22,2682,5.86464,TNFa-IL6-IL12-IFNa+,a2015,adult,LPS,3,mDC
86.02,2307,2682,NA,TNFa-IL6-IL12-IFNa-,a2015,adult,LPS,3,mDC
0,0,2363,0,TNFa+IL6+IL12+IFNa+,a2016,adult,LPS,3,mDC
1.9,45,2363,7.635544218,TNFa+IL6+IL12+IFNa-,a2016,adult,LPS,3,mDC
0,0,2363,0,TNFa+IL6+IL12-IFNa+,a2016,adult,LPS,3,mDC
7.15,169,2363,28.7337585,TNFa+IL6+IL12-IFNa-,a2016,adult,LPS,3,mDC
0,0,2363,0,TNFa+IL6-IL12+IFNa+,a2016,adult,LPS,3,mDC
1.18,28,2363,4.74207483,TNFa+IL6-IL12+IFNa-,a2016,adult,LPS,3,mDC
0,0,2363,0,TNFa+IL6-IL12-IFNa+,a2016,adult,LPS,3,mDC
10.92,258,2363,43.88428571,TNFa+IL6-IL12-IFNa-,a2016,adult,LPS,3,mDC
0,0,2363,0,TNFa-IL6+IL12+IFNa+,a2016,adult,LPS,3,mDC
0.13,3,2363,0.522431973,TNFa-IL6+IL12+IFNa-,a2016,adult,LPS,3,mDC
0,0,2363,0,TNFa-IL6+IL12-IFNa+,a2016,adult,LPS,3,mDC
2.62,62,2363,10.52901361,TNFa-IL6+IL12-IFNa-,a2016,adult,LPS,3,mDC
0,0,2363,0,TNFa-IL6-IL12+IFNa+,a2016,adult,LPS,3,mDC
0.68,16,2363,2.732721088,TNFa-IL6-IL12+IFNa-,a2016,adult,LPS,3,mDC
0.3,7,2363,1.205612245,TNFa-IL6-IL12-IFNa+,a2016,adult,LPS,3,mDC
75.12,1775,2363,NA,TNFa-IL6-IL12-IFNa-,a2016,adult,LPS,3,mDC
0,0,2846,0,TNFa+IL6+IL12+IFNa+,a2017,adult,LPS,3,mDC
1.51,43,2846,6.228202899,TNFa+IL6+IL12+IFNa-,a2017,adult,LPS,3,mDC
0.11,3,2846,0.453710145,TNFa+IL6+IL12-IFNa+,a2017,adult,LPS,3,mDC
3.3,94,2846,13.61130435,TNFa+IL6+IL12-IFNa-,a2017,adult,LPS,3,mDC
0.04,1,2846,0.164985507,TNFa+IL6-IL12+IFNa+,a2017,adult,LPS,3,mDC
1.97,56,2846,8.125536232,TNFa+IL6-IL12+IFNa-,a2017,adult,LPS,3,mDC
0.07,2,2846,0.288724638,TNFa+IL6-IL12-IFNa+,a2017,adult,LPS,3,mDC
6.92,197,2846,28.54249275,TNFa+IL6-IL12-IFNa-,a2017,adult,LPS,3,mDC
0,0,2846,0,TNFa-IL6+IL12+IFNa+,a2017,adult,LPS,3,mDC
0.53,15,2846,2.186057971,TNFa-IL6+IL12+IFNa-,a2017,adult,LPS,3,mDC
0,0,2846,0,TNFa-IL6+IL12-IFNa+,a2017,adult,LPS,3,mDC
3.23,92,2846,13.32257971,TNFa-IL6+IL12-IFNa-,a2017,adult,LPS,3,mDC
0.56,16,2846,2.309797101,TNFa-IL6-IL12+IFNa+,a2017,adult,LPS,3,mDC
3.72,106,2846,15.34365217,TNFa-IL6-IL12+IFNa-,a2017,adult,LPS,3,mDC
2.28,65,2846,9.404173913,TNFa-IL6-IL12-IFNa+,a2017,adult,LPS,3,mDC
75.76,2156,2846,NA,TNFa-IL6-IL12-IFNa-,a2017,adult,LPS,3,mDC
0,0,1335,0,TNFa+IL6+IL12+IFNa+,a2020,adult,LPS,3,mDC
0.97,13,1335,2.61078629,TNFa+IL6+IL12+IFNa-,a2020,adult,LPS,3,mDC
0.07,1,1335,0.188407258,TNFa+IL6+IL12-IFNa+,a2020,adult,LPS,3,mDC
10.71,143,1335,28.82631048,TNFa+IL6+IL12-IFNa-,a2020,adult,LPS,3,mDC
0,0,1335,0,TNFa+IL6-IL12+IFNa+,a2020,adult,LPS,3,mDC
0.52,7,1335,1.399596774,TNFa+IL6-IL12+IFNa-,a2020,adult,LPS,3,mDC
0.37,5,1335,0.995866935,TNFa+IL6-IL12-IFNa+,a2020,adult,LPS,3,mDC
15.88,212,1335,42.74153226,TNFa+IL6-IL12-IFNa-,a2020,adult,LPS,3,mDC
0,0,1335,0,TNFa-IL6+IL12+IFNa+,a2020,adult,LPS,3,mDC
0.15,2,1335,0.403729839,TNFa-IL6+IL12+IFNa-,a2020,adult,LPS,3,mDC
0.07,1,1335,0.188407258,TNFa-IL6+IL12-IFNa+,a2020,adult,LPS,3,mDC
3.9,52,1335,10.49697581,TNFa-IL6+IL12-IFNa-,a2020,adult,LPS,3,mDC
0.37,5,1335,0.995866935,TNFa-IL6-IL12+IFNa+,a2020,adult,LPS,3,mDC
1.12,15,1335,3.014516129,TNFa-IL6-IL12+IFNa-,a2020,adult,LPS,3,mDC
3,40,1335,8.074596774,TNFa-IL6-IL12-IFNa+,a2020,adult,LPS,3,mDC
62.87,839,1335,NA,TNFa-IL6-IL12-IFNa-,a2020,adult,LPS,3,mDC
0.14,1,701,0.424848485,TNFa+IL6+IL12+IFNa+,a2021,adult,LPS,3,mDC
2.14,15,701,6.494112554,TNFa+IL6+IL12+IFNa-,a2021,adult,LPS,3,mDC
0.14,1,701,0.424848485,TNFa+IL6+IL12-IFNa+,a2021,adult,LPS,3,mDC
10.98,77,701,33.32025974,TNFa+IL6+IL12-IFNa-,a2021,adult,LPS,3,mDC
0,0,701,0,TNFa+IL6-IL12+IFNa+,a2021,adult,LPS,3,mDC
3.28,23,701,9.953593074,TNFa+IL6-IL12+IFNa-,a2021,adult,LPS,3,mDC
0,0,701,0,TNFa+IL6-IL12-IFNa+,a2021,adult,LPS,3,mDC
7.56,53,701,22.94181818,TNFa+IL6-IL12-IFNa-,a2021,adult,LPS,3,mDC
0,0,701,0,TNFa-IL6+IL12+IFNa+,a2021,adult,LPS,3,mDC
0.29,2,701,0.88004329,TNFa-IL6+IL12+IFNa-,a2021,adult,LPS,3,mDC
0,0,701,0,TNFa-IL6+IL12-IFNa+,a2021,adult,LPS,3,mDC
4.14,29,701,12.56337662,TNFa-IL6+IL12-IFNa-,a2021,adult,LPS,3,mDC
0,0,701,0,TNFa-IL6-IL12+IFNa+,a2021,adult,LPS,3,mDC
3.14,22,701,9.528744589,TNFa-IL6-IL12+IFNa-,a2021,adult,LPS,3,mDC
1.14,8,701,3.459480519,TNFa-IL6-IL12-IFNa+,a2021,adult,LPS,3,mDC
67.05,470,701,NA,TNFa-IL6-IL12-IFNa-,a2021,adult,LPS,3,mDC
0.15,6,3983,0.252835379,TNFa+IL6+IL12+IFNa+,a2023,adult,LPS,3,mDC
2.66,106,3983,4.48361405,TNFa+IL6+IL12+IFNa-,a2023,adult,LPS,3,mDC
0.53,21,3983,0.893351672,TNFa+IL6+IL12-IFNa+,a2023,adult,LPS,3,mDC
17.88,712,3983,30.13797715,TNFa+IL6+IL12-IFNa-,a2023,adult,LPS,3,mDC
0.08,3,3983,0.134845535,TNFa+IL6-IL12+IFNa+,a2023,adult,LPS,3,mDC
2.56,102,3983,4.315057131,TNFa+IL6-IL12+IFNa-,a2023,adult,LPS,3,mDC
0.28,11,3983,0.471959374,TNFa+IL6-IL12-IFNa+,a2023,adult,LPS,3,mDC
30.33,1208,3983,51.12331358,TNFa+IL6-IL12-IFNa-,a2023,adult,LPS,3,mDC
0,0,3983,0,TNFa-IL6+IL12+IFNa+,a2023,adult,LPS,3,mDC
0.08,3,3983,0.134845535,TNFa-IL6+IL12+IFNa-,a2023,adult,LPS,3,mDC
0.15,6,3983,0.252835379,TNFa-IL6+IL12-IFNa+,a2023,adult,LPS,3,mDC
3.09,123,3983,5.208408802,TNFa-IL6+IL12-IFNa-,a2023,adult,LPS,3,mDC
0.05,2,3983,0.08427846,TNFa-IL6-IL12+IFNa+,a2023,adult,LPS,3,mDC
0.63,25,3983,1.061908591,TNFa-IL6-IL12+IFNa-,a2023,adult,LPS,3,mDC
0.88,35,3983,1.483300889,TNFa-IL6-IL12-IFNa+,a2023,adult,LPS,3,mDC
40.65,1619,3983,NA,TNFa-IL6-IL12-IFNa-,a2023,adult,LPS,3,mDC
0.03,1,3208,0.060988593,TNFa+IL6+IL12+IFNa+,a2024,adult,LPS,3,mDC
1.71,55,3208,3.47634981,TNFa+IL6+IL12+IFNa-,a2024,adult,LPS,3,mDC
0.69,22,3208,1.402737643,TNFa+IL6+IL12-IFNa+,a2024,adult,LPS,3,mDC
13.06,419,3208,26.55036755,TNFa+IL6+IL12-IFNa-,a2024,adult,LPS,3,mDC
0.06,2,3208,0.121977186,TNFa+IL6-IL12+IFNa+,a2024,adult,LPS,3,mDC
1.9,61,3208,3.8626109,TNFa+IL6-IL12+IFNa-,a2024,adult,LPS,3,mDC
0.41,13,3208,0.833510773,TNFa+IL6-IL12-IFNa+,a2024,adult,LPS,3,mDC
20.95,672,3208,42.59036755,TNFa+IL6-IL12-IFNa-,a2024,adult,LPS,3,mDC
0.03,1,3208,0.060988593,TNFa-IL6+IL12+IFNa+,a2024,adult,LPS,3,mDC
0.09,3,3208,0.182965779,TNFa-IL6+IL12+IFNa-,a2024,adult,LPS,3,mDC
0.59,19,3208,1.199442332,TNFa-IL6+IL12-IFNa+,a2024,adult,LPS,3,mDC
7.01,225,3208,14.25100127,TNFa-IL6+IL12-IFNa-,a2024,adult,LPS,3,mDC
0,0,3208,0,TNFa-IL6-IL12+IFNa+,a2024,adult,LPS,3,mDC
0.65,21,3208,1.321419518,TNFa-IL6-IL12+IFNa-,a2024,adult,LPS,3,mDC
2,64,3208,4.06590621,TNFa-IL6-IL12-IFNa+,a2024,adult,LPS,3,mDC
50.82,1630,3208,NA,TNFa-IL6-IL12-IFNa-,a2024,adult,LPS,3,mDC
0,0,3800,0,TNFa+IL6+IL12+IFNa+,a2025,adult,LPS,3,mDC
0.92,35,3800,1.68238691,TNFa+IL6+IL12+IFNa-,a2025,adult,LPS,3,mDC
0.08,3,3800,0.146294514,TNFa+IL6+IL12-IFNa+,a2025,adult,LPS,3,mDC
28.21,1072,3800,51.58710298,TNFa+IL6+IL12-IFNa-,a2025,adult,LPS,3,mDC
0,0,3800,0,TNFa+IL6-IL12+IFNa+,a2025,adult,LPS,3,mDC
